date,close,episode,actions,transactions,total_assets,reward,assets_baseline
2008-07-15,3.2856,18,0,0,0.0,-23402.22179399985,0.0
2008-07-16,3.0254,18,0,0,0.0,-23402.22179399985,0.0
2008-07-17,2.9343,18,0,0,0.0,-23402.22179399985,0.0
2008-07-18,3.0579,18,0,0,0.0,-23402.22179399985,0.0
2008-07-21,3.2336,18,1,10,0.0,-23402.22179399985,0.0
2008-07-22,3.2466,18,1,10,1.6652629999999995,-23402.22179399985,0.0
2008-07-23,3.2661,18,1,10,1.8282549999999986,-23402.22179399985,0.0
2008-07-24,3.3572,18,1,10,2.31585699999998,-23402.22179399985,0.0
2008-07-25,3.2726,18,1,10,5.861874,-23402.22179399985,0.0
2008-07-28,3.3181,18,1,10,1.5311579999999765,-23402.22179399985,0.0
2008-07-29,3.2726,18,1,10,4.162979999999976,-23402.22179399985,0.0
2008-07-30,3.3312,18,1,10,0.8784370000000195,-23402.22179399985,0.0
2008-07-31,3.123,18,1,10,5.468258999999932,-23402.22179399985,0.0
2008-08-01,3.1945,18,1,10,-13.369677000000081,-23402.22179399985,0.0
2008-08-04,3.0709,18,1,10,-6.313367000000085,-23402.22179399985,0.0
2008-08-05,2.9343,18,1,10,-20.00520200000011,-23402.22179399985,0.0
2008-08-06,2.9798,18,-1,-10,-36.48932900000011,-23402.22179399985,0.0
2008-08-07,3.0644,18,-1,-10,-31.572358000000065,-23402.22179399985,0.0
2008-08-08,2.7651,18,1,10,-23.201752000000113,-23402.22179399985,0.0
2008-08-11,2.4919,18,-1,-10,-56.2166840000001,-23402.22179399985,0.0
2008-08-12,2.5309,18,-1,-10,-83.6196370000001,-23402.22179399985,0.0
2008-08-13,2.4723,18,-1,-10,-80.18439400000005,-23402.22179399985,0.0
2008-08-14,2.4789,18,1,10,-84.94832100000005,-23402.22179399985,0.0
2008-08-15,2.4919,18,1,10,-84.42849000000007,-23402.22179399985,0.0
2008-08-18,2.2446,18,1,10,-83.20285700000008,-23402.22179399985,0.0
2008-08-19,2.2641,18,1,10,-110.480614,-23402.22179399985,0.0
2008-08-20,2.4463,18,1,10,-108.20795200000003,-23402.22179399985,0.0
2008-08-21,2.3227,18,1,10,-84.58987500000006,-23402.22179399985,0.0
2008-08-22,2.2511,18,1,10,-101.96726400000006,-23402.22179399985,0.0
2008-08-25,2.2576,18,1,10,-112.77694500000007,-23402.22179399985,0.0
2008-08-26,2.0885,18,1,10,-111.80447800000013,-23402.22179399985,0.0
2008-08-27,2.1275,18,1,10,-140.6192060000002,-23402.22179399985,0.0
2008-08-28,2.121,18,1,10,-133.6618610000001,-23402.22179399985,0.0
2008-08-29,2.2446,18,1,10,-134.960686,-23402.22179399985,0.0
2008-09-01,2.4723,18,1,10,-110.30431600000003,-23402.22179399985,0.0
2008-09-02,2.5829,18,-1,-10,-62.55465400000003,-23402.22179399985,0.0
2008-09-03,2.4203,18,0,0,-40.50882300000001,-23402.22179399985,0.0
2008-09-04,2.5049,18,-1,-10,-73.02882300000005,-23402.22179399985,0.0
2008-09-05,2.2772,18,-1,-10,-57.02743200000009,-23402.22179399985,0.0
2008-09-08,2.147,18,1,10,-98.08857900000015,-23402.22179399985,0.0
2008-09-09,2.2576,18,1,10,-122.89489500000025,-23402.22179399985,0.0
2008-09-10,2.2641,18,1,10,-100.8393050000002,-23402.22179399985,0.0
2008-09-11,2.1731,18,1,10,-99.54203300000017,-23402.22179399985,0.0
2008-09-12,2.1991,18,1,10,-119.62995600000016,-23402.22179399985,0.0
2008-09-16,2.3032,18,-1,-10,-113.71514900000011,-23402.22179399985,0.0
2008-09-17,2.2186,18,1,10,-90.87912200000011,-23402.22179399985,0.0
2008-09-18,2.1145,18,1,10,-110.40621800000014,-23402.22179399985,0.0
2008-09-19,2.3292,18,1,10,-135.4567760000001,-23402.22179399985,0.0
2008-09-22,2.4203,18,1,10,-81.84521100000006,-23402.22179399985,0.0
2008-09-23,2.1926,18,1,10,-58.22908700000016,-23402.22179399985,0.0
2008-09-24,2.2967,18,1,10,-119.78069600000015,-23402.22179399985,0.0
2008-09-25,2.3487,18,1,10,-90.69847400000026,-23402.22179399985,0.0
2008-09-26,2.2837,18,1,10,-75.6873750000002,-23402.22179399985,0.0
2008-10-06,2.1731,18,1,10,-95.25783600000022,-23402.22179399985,0.0
2008-10-07,2.2121,18,1,10,-129.61234700000023,-23402.22179399985,0.0
2008-10-08,2.134,18,1,10,-117.19754000000023,-23402.22179399985,0.0
2008-10-09,2.1145,18,1,10,-143.03690300000028,-23402.22179399985,0.0
2008-10-10,1.9388,18,-1,-10,-149.7309230000002,-23402.22179399985,0.0
2008-10-13,2.0234,18,-1,-10,-207.77535800000032,-23402.22179399985,0.0
2008-10-14,1.9519,18,1,10,-180.76152200000024,-23402.22179399985,0.0
2008-10-15,1.9584,18,1,10,-204.41722400000037,-23402.22179399985,0.0
2008-10-16,1.8087,18,1,10,-202.2657810000003,-23402.22179399985,0.0
2008-10-17,1.8282,18,1,10,-254.7195330000003,-23402.22179399985,0.0
2008-10-20,1.8868,18,1,10,-247.7537940000002,-23402.22179399985,0.0
2008-10-21,1.8868,18,1,10,-226.1266400000003,-23402.22179399985,0.0
2008-10-22,1.8543,18,1,10,-226.1832440000003,-23402.22179399985,0.0
2008-10-23,1.8738,18,1,10,-238.91484800000035,-23402.22179399985,0.0
2008-10-24,2.0429,18,1,10,-231.17047700000035,-23402.22179399985,0.0
2008-10-27,1.8412,18,1,10,-161.8956910000004,-23402.22179399985,0.0
2008-10-28,1.8478,18,1,10,-246.67097800000033,-23402.22179399985,0.0
2008-10-29,1.7046,18,1,10,-243.88821400000006,-23402.22179399985,0.0
2008-10-30,1.7111,18,1,10,-306.9516480000003,-23402.22179399985,0.0
2008-10-31,1.6591,18,1,10,-304.0777860000004,-23402.22179399985,0.0
2008-11-03,1.594,18,-1,-10,-328.0491190000006,-23402.22179399985,0.0
2008-11-04,1.5289,18,-1,-10,-357.3938920000006,-23402.22179399985,0.0
2008-11-05,1.607,18,-1,-10,-386.0857120000006,-23402.22179399985,0.0
2008-11-06,1.6656,18,1,10,-352.5485790000007,-23402.22179399985,0.0
2008-11-07,1.6851,18,1,10,-326.8127890000005,-23402.22179399985,0.0
2008-11-10,1.8412,18,1,10,-318.08775700000047,-23402.22179399985,0.0
2008-11-11,1.7762,18,1,10,-246.33231000000046,-23402.22179399985,0.0
2008-11-12,1.8412,18,1,10,-276.93754600000045,-23402.22179399985,0.0
2008-11-13,1.9193,18,0,0,-245.79083200000048,-23402.22179399985,0.0
2008-11-14,1.9779,18,0,0,-208.30283200000042,-23402.22179399985,0.0
2008-11-17,2.1275,18,0,0,-180.17483200000038,-23402.22179399985,0.0
2008-11-18,1.9128,18,0,0,-108.3668320000005,-23402.22179399985,0.0
2008-11-19,2.0364,18,1,10,-211.42283200000043,-23402.22179399985,0.0
2008-11-20,2.2381,18,1,10,-150.9162160000003,-23402.22179399985,0.0
2008-11-21,2.3552,18,1,10,-50.127308000000085,-23402.22179399985,0.0
2008-11-24,2.1926,18,1,10,9.526548999999704,-23402.22179399985,0.0
2008-11-25,2.2186,18,1,10,-75.0961070000003,-23402.22179399985,0.0
2008-11-26,2.2251,18,1,10,-61.38188500000024,-23402.22179399985,0.0
2008-11-27,2.2056,18,1,10,-57.938443000000234,-23402.22179399985,0.0
2008-11-28,2.095,18,1,10,-68.7301960000002,-23402.22179399985,0.0
2008-12-01,2.16,18,1,10,-130.7323640000002,-23402.22179399985,0.0
2008-12-02,2.1731,18,1,10,-93.74521400000026,-23402.22179399985,0.0
2008-12-03,2.2772,18,1,10,-86.21201400000041,-23402.22179399985,0.0
2008-12-04,2.2446,18,1,10,-24.85820700000022,-23402.22179399985,0.0
2008-12-05,2.3487,18,1,10,-44.48652300000026,-23402.22179399985,0.0
2008-12-08,2.4593,18,1,10,18.94713899999988,-23402.22179399985,0.0
2008-12-09,2.3357,18,1,10,87.44867799999952,-23402.22179399985,0.0
2008-12-10,2.4658,18,1,10,9.506898999999521,-23402.22179399985,0.0
2008-12-11,2.3227,18,1,10,92.70082799999955,-23402.22179399985,0.0
2008-12-12,2.1666,18,1,10,-0.38814600000023347,-23402.22179399985,0.0
2008-12-15,2.2056,18,1,10,-103.48382700000047,-23402.22179399985,0.0
2008-12-16,2.2446,18,1,10,-77.41882500000042,-23402.22179399985,0.0
2008-12-17,2.2446,18,1,10,-50.96499300000028,-23402.22179399985,0.0
2008-12-18,2.2902,18,1,10,-51.03233100000034,-23402.22179399985,0.0
2008-12-19,2.5179,18,1,10,-19.17966900000033,-23402.22179399985,0.0
2008-12-22,2.5179,18,1,10,142.41862499999957,-23402.22179399985,0.0
2008-12-23,2.2707,18,1,10,142.3430879999994,-23402.22179399985,0.0
2008-12-24,2.1796,18,1,10,-38.188449000000446,-23402.22179399985,0.0
2008-12-25,2.147,18,1,10,-105.67057000000045,-23402.22179399985,0.0
2008-12-26,2.1405,18,1,10,-130.18595800000094,-23402.22179399985,0.0
2008-12-29,2.0885,18,1,10,-135.19036800000072,-23402.22179399985,0.0
2008-12-30,2.0234,18,1,10,-175.294583000001,-23402.22179399985,0.0
2008-12-31,1.9649,18,1,10,-226.13523800000053,-23402.22179399985,0.0
2009-01-05,2.0559,18,-1,-10,-272.41094000000044,-23402.22179399985,0.0
2009-01-06,2.1405,18,-1,-10,-201.48988700000064,-23402.22179399985,0.0
2009-01-07,2.1796,18,1,10,-136.4095640000005,-23402.22179399985,0.0
2009-01-08,2.0559,18,0,0,-105.97577900000033,-23402.22179399985,0.0
2009-01-09,2.121,18,1,10,-202.46177900000066,-23402.22179399985,0.0
2009-01-12,2.16,18,1,10,-151.0944560000005,-23402.22179399985,0.0
2009-01-13,2.121,18,1,10,-119.95808600000055,-23402.22179399985,0.0
2009-01-14,2.1861,18,1,10,-151.61288600000057,-23402.22179399985,0.0
2009-01-15,2.2121,18,1,10,-98.29451600000061,-23402.22179399985,0.0
2009-01-16,2.2251,18,1,10,-76.78009900000097,-23402.22179399985,0.0
2009-01-19,2.2056,18,1,10,-65.92646200000104,-23402.22179399985,0.0
2009-01-20,2.2056,18,1,10,-82.56821500000092,-23402.22179399985,0.0
2009-01-21,2.4268,18,1,10,-82.63438300000098,-23402.22179399985,0.0
2009-01-22,2.609,18,1,10,109.74344899999915,-23402.22179399985,0.0
2009-01-23,2.5114,18,1,10,270.006644999999,-23402.22179399985,0.0
2009-02-02,2.5569,18,1,10,183.06437499999902,-23402.22179399985,0.0
2009-02-03,2.5829,18,1,10,223.93903299999874,-23402.22179399985,0.0
2009-02-04,2.6545,18,1,10,247.52232599999843,-23402.22179399985,0.0
2009-02-05,2.5895,18,1,10,313.31683899999825,-23402.22179399985,0.0
2009-02-06,2.7066,18,1,10,252.78720399999838,-23402.22179399985,0.0
2009-02-09,2.8497,18,1,10,362.7835189999978,-23402.22179399985,0.0
2009-02-10,2.8497,18,1,10,498.6473209999981,-23402.22179399985,0.0
2009-02-11,2.8497,18,1,10,498.56182999999874,-23402.22179399985,0.0
2009-02-12,2.9668,18,1,10,498.4763389999989,-23402.22179399985,0.0
2009-02-13,2.9798,18,1,10,613.1488479999994,-23402.22179399985,0.0
2009-02-16,2.9733,18,1,10,625.9298439999993,-23402.22179399985,0.0
2009-02-17,2.7716,18,1,10,619.3404499999992,-23402.22179399985,0.0
2009-02-18,2.6415,18,1,10,415.5342509999987,-23402.22179399985,0.0
2009-02-19,2.7326,18,1,10,282.7491029999992,-23402.22179399985,0.0
2009-02-20,2.8042,18,1,10,376.5028579999989,-23402.22179399985,0.0
2009-02-23,2.8692,18,1,10,450.8848799999987,-23402.22179399985,0.0
2009-02-24,2.8822,18,1,10,519.050753999999,-23402.22179399985,0.0
2009-02-25,2.8302,18,1,10,532.7446779999987,-23402.22179399985,0.0
2009-02-26,2.5569,18,1,10,477.01821199999813,-23402.22179399985,0.0
2009-02-27,2.3292,18,1,10,181.76930599999832,-23402.22179399985,0.0
2009-03-02,2.3943,18,1,10,-66.50040100000206,-23402.22179399985,0.0
2009-03-03,2.3943,18,-1,-10,5.039722999998048,-23402.22179399985,0.0
2009-03-04,2.5439,18,-1,-10,4.9678939999980685,-23402.22179399985,0.0
