date,close,episode,actions,transactions,total_assets,reward,assets_baseline
2008-07-15,3.2856,1,1,10,0.0,-24287.00568200047,0.0
2008-07-16,3.0254,1,-1,-10,-0.6211309999999912,-24287.00568200047,0.0
2008-07-17,2.9343,1,1,10,-0.7196989999999912,-24287.00568200047,0.0
2008-07-18,3.0579,1,1,10,-1.7214609999999908,-24287.00568200047,0.0
2008-07-21,3.2336,1,1,10,0.6625100000000117,-24287.00568200047,0.0
2008-07-22,3.2466,1,1,10,5.841773000000003,-24287.00568200047,0.0
2008-07-23,3.2661,1,1,10,6.264765000000011,-24287.00568200047,0.0
2008-07-24,3.3572,1,1,10,7.142366999999979,-24287.00568200047,0.0
2008-07-25,3.2726,1,1,10,12.510384000000016,-24287.00568200047,0.0
2008-07-28,3.3181,1,1,10,6.4876680000000135,-24287.00568200047,0.0
2008-07-29,3.2726,1,1,10,10.029489999999981,-24287.00568200047,0.0
2008-07-30,3.3312,1,0,0,5.834947,-24287.00568200047,0.0
2008-07-31,3.123,1,1,10,11.108947,-24287.00568200047,0.0
2008-08-01,3.1945,1,-1,-10,-9.810989000000006,-24287.00568200047,0.0
2008-08-04,3.0709,1,1,10,-3.469678999999985,-24287.00568200047,0.0
2008-08-05,2.9343,1,1,10,-15.925514000000021,-24287.00568200047,0.0
2008-08-06,2.9798,1,1,10,-31.043641000000036,-24287.00568200047,0.0
2008-08-07,3.0644,1,1,10,-25.671670000000006,-24287.00568200047,0.0
2008-08-08,2.7651,1,1,10,-14.763064000000043,-24287.00568200047,0.0
2008-08-11,2.4919,1,1,10,-56.75699600000007,-24287.00568200047,0.0
2008-08-12,2.5309,1,1,10,-97.81994900000007,-24287.00568200047,0.0
2008-08-13,2.4723,1,1,10,-91.65470600000003,-24287.00568200047,0.0
2008-08-14,2.4789,1,1,10,-101.69263299999989,-24287.00568200047,0.0
2008-08-15,2.4919,1,1,10,-100.57880199999988,-24287.00568200047,0.0
2008-08-18,2.2446,1,1,10,-98.18316899999996,-24287.00568200047,0.0
2008-08-19,2.2641,1,1,10,-147.71792599999986,-24287.00568200047,0.0
2008-08-20,2.4463,1,1,10,-143.69026399999984,-24287.00568200047,0.0
2008-08-21,2.3227,1,1,10,-103.67418699999973,-24287.00568200047,0.0
2008-08-22,2.2511,1,1,10,-132.17557599999975,-24287.00568200047,0.0
2008-08-25,2.2576,1,1,10,-149.42925699999967,-24287.00568200047,0.0
2008-08-26,2.0885,1,1,10,-147.8717899999997,-24287.00568200047,0.0
2008-08-27,2.1275,1,1,10,-191.9055179999997,-24287.00568200047,0.0
2008-08-28,2.121,1,1,10,-181.43817299999967,-24287.00568200047,0.0
2008-08-29,2.2446,1,1,10,-183.32199799999955,-24287.00568200047,0.0
2008-09-01,2.4723,1,1,10,-147.5416279999995,-24287.00568200047,0.0
2008-09-02,2.5829,1,1,10,-79.2989659999995,-24287.00568200047,0.0
2008-09-03,2.4203,1,1,10,-45.087134999999535,-24287.00568200047,0.0
2008-09-04,2.5049,1,1,10,-97.19662199999937,-24287.00568200047,0.0
2008-09-05,2.2772,1,1,10,-69.35123099999942,-24287.00568200047,0.0
2008-09-08,2.147,1,1,10,-146.84437799999944,-24287.00568200047,0.0
2008-09-09,2.2576,1,1,10,-192.48269399999958,-24287.00568200047,0.0
2008-09-10,2.2641,1,0,0,-152.7311039999995,-24287.00568200047,0.0
2008-09-11,2.1731,1,1,10,-150.39110399999947,-24287.00568200047,0.0
2008-09-12,2.1991,1,1,10,-184.1290269999995,-24287.00568200047,0.0
2008-09-16,2.3032,1,1,10,-174.3142199999994,-24287.00568200047,0.0
2008-09-17,2.2186,1,1,10,-133.78119299999946,-24287.00568200047,0.0
2008-09-18,2.1145,1,1,10,-167.69028899999932,-24287.00568200047,0.0
2008-09-19,2.3292,1,1,10,-210.43784699999912,-24287.00568200047,0.0
2008-09-22,2.4203,1,1,10,-120.32728199999906,-24287.00568200047,0.0
2008-09-23,2.1926,1,1,10,-81.22415799999908,-24287.00568200047,0.0
