date,close,episode,actions,transactions,total_assets,reward,assets_baseline
2008-07-15,3.2856,0,0,0,0.0,2993.2781779999914,0.0
2008-07-16,3.0254,0,0,0,0.0,2993.2781779999914,0.0
2008-07-17,2.9343,0,1,10,0.0,2993.2781779999914,0.0
2008-07-18,3.0579,0,-1,-10,-1.0017619999999994,2993.2781779999914,0.0
2008-07-21,3.2336,0,0,0,-1.0897909999999993,2993.2781779999914,0.0
2008-07-22,3.2466,0,-1,-10,-1.0897909999999993,2993.2781779999914,0.0
2008-07-23,3.2661,0,-1,-10,-1.3167989999999996,2993.2781779999914,0.0
2008-07-24,3.3572,0,0,0,-1.804197000000002,2993.2781779999914,0.0
2008-07-25,3.2726,0,0,0,-3.6261970000000048,2993.2781779999914,0.0
2008-07-28,3.3181,0,-1,-10,-1.9341969999999975,2993.2781779999914,0.0
2008-07-29,3.2726,0,-1,-10,-3.3973749999999967,2993.2781779999914,0.0
2008-07-30,3.3312,0,0,0,-1.676918000000029,2993.2781779999914,0.0
2008-07-31,3.123,0,1,10,-4.020918000000023,2993.2781779999914,0.0
2008-08-01,3.1945,0,-1,-10,2.1251459999999582,2993.2781779999914,0.0
2008-08-04,3.0709,0,0,0,-0.8285440000000222,2993.2781779999914,0.0
2008-08-05,2.9343,0,1,10,4.1154559999999805,2993.2781779999914,0.0
2008-08-06,2.9798,0,1,10,8.121328999999974,2993.2781779999914,0.0
2008-08-07,3.0644,0,0,0,7.123299999999958,2993.2781779999914,0.0
2008-08-08,2.7651,0,-1,-10,5.431299999999965,2993.2781779999914,0.0
2008-08-11,2.4919,0,1,10,14.31836799999995,2993.2781779999914,0.0
2008-08-12,2.5309,0,-1,-10,19.69941499999996,2993.2781779999914,0.0
2008-08-13,2.4723,0,1,10,18.454657999999952,2993.2781779999914,0.0
2008-08-14,2.4789,0,-1,-10,19.55073099999995,2993.2781779999914,0.0
2008-08-15,2.4919,0,0,0,19.278561999999965,2993.2781779999914,0.0
2008-08-18,2.2446,0,0,0,18.888561999999965,2993.2781779999914,0.0
2008-08-19,2.2641,0,-1,-10,26.307561999999947,2993.2781779999914,0.0
2008-08-20,2.4463,0,-1,-10,25.460223999999954,2993.2781779999914,0.0
2008-08-21,2.3227,0,0,0,16.282300999999933,2993.2781779999914,0.0
2008-08-22,2.2511,0,0,0,22.462300999999925,2993.2781779999914,0.0
2008-08-25,2.2576,0,1,10,26.042300999999924,2993.2781779999914,0.0
2008-08-26,2.0885,0,0,0,25.714767999999935,2993.2781779999914,0.0
2008-08-27,2.1275,0,-1,-10,32.478767999999945,2993.2781779999914,0.0
2008-08-28,2.121,0,0,0,30.466112999999922,2993.2781779999914,0.0
2008-08-29,2.2446,0,-1,-10,30.791112999999925,2993.2781779999914,0.0
2008-09-01,2.4723,0,1,10,23.311482999999924,2993.2781779999914,0.0
2008-09-02,2.5829,0,-1,-10,11.859144999999927,2993.2781779999914,0.0
2008-09-03,2.4203,0,-1,-10,5.148975999999948,2993.2781779999914,0.0
2008-09-04,2.5049,0,-1,-10,16.453488999999934,2993.2781779999914,0.0
2008-09-05,2.2772,0,0,0,9.612879999999961,2993.2781779999914,0.0
2008-09-08,2.147,0,-1,-10,27.82887999999994,2993.2781779999914,0.0
2008-09-09,2.2576,0,0,0,39.47856399999995,2993.2781779999914,0.0
2008-09-10,2.2641,0,0,0,29.52456399999994,2993.2781779999914,0.0
2008-09-11,2.1731,0,-1,-10,28.939563999999933,2993.2781779999914,0.0
2008-09-12,2.1991,0,-1,-10,37.97164099999995,2993.2781779999914,0.0
2008-09-16,2.3032,0,1,10,35.046447999999884,2993.2781779999914,0.0
2008-09-17,2.2186,0,-1,-10,24.570474999999902,2993.2781779999914,0.0
2008-09-18,2.1145,0,1,10,33.80737899999991,2993.2781779999914,0.0
2008-09-19,2.3292,0,0,0,44.150820999999894,2993.2781779999914,0.0
2008-09-22,2.4203,0,-1,-10,22.680820999999895,2993.2781779999914,0.0
2008-09-23,2.1926,0,0,0,12.589944999999886,2993.2781779999914,0.0
2008-09-24,2.2967,0,-1,-10,37.63694499999988,2993.2781779999914,0.0
2008-09-25,2.3487,0,0,0,25.07916699999987,2993.2781779999914,0.0
2008-09-26,2.2837,0,-1,-10,18.83916699999986,2993.2781779999914,0.0
2008-10-06,2.1731,0,0,0,27.218705999999827,2993.2781779999914,0.0
2008-10-07,2.2121,0,-1,-10,41.59670599999987,2993.2781779999914,0.0
2008-10-08,2.134,0,-1,-10,36.07151299999981,2993.2781779999914,0.0
2008-10-09,2.1145,0,-1,-10,47.72014999999982,2993.2781779999914,0.0
2008-10-10,1.9388,0,-1,-10,50.77612999999974,2993.2781779999914,0.0
2008-10-13,2.0234,0,-1,-10,80.58169499999968,2993.2781779999914,0.0
2008-10-14,1.9519,0,0,0,65.2955309999997,2993.2781779999914,0.0
2008-10-15,1.9584,0,0,0,78.1655309999997,2993.2781779999914,0.0
2008-10-16,1.8087,0,1,10,76.99553099999969,2993.2781779999914,0.0
2008-10-17,1.8282,0,1,10,102.38577899999967,2993.2781779999914,0.0
2008-10-20,1.8868,0,0,0,99.21151799999967,2993.2781779999914,0.0
2008-10-21,1.8868,0,0,0,89.83551799999964,2993.2781779999914,0.0
2008-10-22,1.8543,0,-1,-10,89.83551799999964,2993.2781779999914,0.0
2008-10-23,1.8738,0,1,10,95.30391399999968,2993.2781779999914,0.0
2008-10-24,2.0429,0,1,10,92.12828499999966,2993.2781779999914,0.0
2008-10-27,1.8412,0,-1,-10,66.70707099999964,2993.2781779999914,0.0
2008-10-28,1.8478,0,-1,-10,98.91778399999964,2993.2781779999914,0.0
2008-10-29,1.7046,0,-1,-10,97.74054799999959,2993.2781779999914,0.0
2008-10-30,1.7111,0,0,0,123.46111399999967,2993.2781779999914,0.0
2008-10-31,1.6591,0,-1,-10,122.29111399999965,2993.2781779999914,0.0
2008-11-03,1.594,0,0,0,132.11978099999965,2993.2781779999914,0.0
2008-11-04,1.5289,0,1,10,144.48878099999962,2993.2781779999914,0.0
2008-11-05,1.607,0,0,0,156.15896099999964,2993.2781779999914,0.0
2008-11-06,1.6656,0,0,0,142.10096099999964,2993.2781779999914,0.0
2008-11-07,1.6851,0,0,0,131.55296099999964,2993.2781779999914,0.0
2008-11-10,1.8412,0,-1,-10,128.04296099999965,2993.2781779999914,0.0
2008-11-11,1.7762,0,1,10,98.33340799999968,2993.2781779999914,0.0
2008-11-12,1.8412,0,-1,-10,109.97817199999969,2993.2781779999914,0.0
2008-11-13,1.9193,0,-1,-10,97.57488599999971,2993.2781779999914,0.0
2008-11-14,1.9779,0,-1,-10,81.89964999999967,2993.2781779999914,0.0
2008-11-17,2.1275,0,-1,-10,69.53607099999971,2993.2781779999914,0.0
2008-11-18,1.9128,0,-1,-10,36.564733999999646,2993.2781779999914,0.0
2008-11-19,2.0364,0,-1,-10,85.88190899999967,2993.2781779999914,0.0
2008-11-20,2.2381,0,0,0,56.16052499999978,2993.2781779999914,0.0
2008-11-21,2.3552,0,0,0,7.752524999999764,2993.2781779999914,0.0
2008-11-24,2.1926,0,-1,-10,-20.351475000000278,2993.2781779999914,0.0
2008-11-25,2.2186,0,1,10,20.227868999999828,2993.2781779999914,0.0
2008-11-26,2.2251,0,-1,-10,13.922090999999796,2993.2781779999914,0.0
2008-11-27,2.2056,0,-1,-10,12.23053299999981,2993.2781779999914,0.0
2008-11-28,2.095,0,-1,-10,17.233779999999797,2993.2781779999914,0.0
2008-12-01,2.16,0,1,10,47.029611999999815,2993.2781779999914,0.0
2008-12-02,2.1731,0,1,10,30.066761999999812,2993.2781779999914,0.0
2008-12-03,2.2772,0,0,0,26.726961999999844,2993.2781779999914,0.0
