date,close,episode,actions,transactions,total_assets,reward,assets_baseline
2008-07-15,3.2856,5,1,10,0.0,-23835.956142000025,0.0
2008-07-16,3.0254,5,0,0,-0.6211309999999912,-23835.956142000025,0.0
2008-07-17,2.9343,5,0,0,-3.223130999999995,-23835.956142000025,0.0
2008-07-18,3.0579,5,-1,-10,-4.134130999999993,-23835.956142000025,0.0
2008-07-21,3.2336,5,1,10,-4.222159999999993,-23835.956142000025,0.0
2008-07-22,3.2466,5,1,10,-2.5568969999999993,-23835.956142000025,0.0
2008-07-23,3.2661,5,1,10,-2.3939049999999895,-23835.956142000025,0.0
2008-07-24,3.3572,5,1,10,-1.906302999999994,-23835.956142000025,0.0
2008-07-25,3.2726,5,1,10,1.6397140000000263,-23835.956142000025,0.0
2008-07-28,3.3181,5,1,10,-2.6910019999999975,-23835.956142000025,0.0
2008-07-29,3.2726,5,1,10,-0.05917999999999779,-23835.956142000025,0.0
2008-07-30,3.3312,5,1,10,-3.3437229999999545,-23835.956142000025,0.0
2008-07-31,3.123,5,1,10,1.2460990000000152,-23835.956142000025,0.0
2008-08-01,3.1945,5,1,10,-17.591836999999998,-23835.956142000025,0.0
2008-08-04,3.0709,5,1,10,-10.535527000000002,-23835.956142000025,0.0
2008-08-05,2.9343,5,1,10,-24.227362000000028,-23835.956142000025,0.0
2008-08-06,2.9798,5,1,10,-40.71148900000003,-23835.956142000025,0.0
2008-08-07,3.0644,5,1,10,-34.884518000000014,-23835.956142000025,0.0
2008-08-08,2.7651,5,1,10,-23.129912000000047,-23835.956142000025,0.0
2008-08-11,2.4919,5,1,10,-68.11684400000007,-23835.956142000025,0.0
2008-08-12,2.5309,5,1,10,-111.91179700000009,-23835.956142000025,0.0
2008-08-13,2.4723,5,1,10,-105.35655400000002,-23835.956142000025,0.0
2008-08-14,2.4789,5,1,10,-115.98048099999994,-23835.956142000025,0.0
2008-08-15,2.4919,5,1,10,-114.8006499999999,-23835.956142000025,0.0
2008-08-18,2.2446,5,1,10,-112.27501699999999,-23835.956142000025,0.0
2008-08-19,2.2641,5,1,10,-164.28277399999985,-23835.956142000025,0.0
