date,close,episode,actions,transactions,total_assets,reward,assets_baseline
2008-07-15,3.2856,19,0,0,0.0,-22109.916280999954,0.0
2008-07-16,3.0254,19,0,0,0.0,-22109.916280999954,0.0
2008-07-17,2.9343,19,0,0,0.0,-22109.916280999954,0.0
2008-07-18,3.0579,19,0,0,0.0,-22109.916280999954,0.0
2008-07-21,3.2336,19,1,10,0.0,-22109.916280999954,0.0
2008-07-22,3.2466,19,1,10,1.6652629999999995,-22109.916280999954,0.0
2008-07-23,3.2661,19,1,10,1.8282549999999986,-22109.916280999954,0.0
2008-07-24,3.3572,19,1,10,2.31585699999998,-22109.916280999954,0.0
2008-07-25,3.2726,19,1,10,5.861874,-22109.916280999954,0.0
2008-07-28,3.3181,19,1,10,1.5311579999999765,-22109.916280999954,0.0
2008-07-29,3.2726,19,0,0,4.162979999999976,-22109.916280999954,0.0
2008-07-30,3.3312,19,1,10,1.4329800000000148,-22109.916280999954,0.0
2008-07-31,3.123,19,1,10,5.436802,-22109.916280999954,0.0
2008-08-01,3.1945,19,1,10,-11.319133999999963,-22109.916280999954,0.0
2008-08-04,3.0709,19,1,10,-4.977823999999998,-22109.916280999954,0.0
2008-08-05,2.9343,19,1,10,-17.433659000000034,-22109.916280999954,0.0
2008-08-06,2.9798,19,-1,-10,-32.55178600000005,-22109.916280999954,0.0
2008-08-07,3.0644,19,-1,-10,-28.089814999999987,-22109.916280999954,0.0
2008-08-08,2.7651,19,1,10,-20.56520900000004,-22109.916280999954,0.0
2008-08-11,2.4919,19,-1,-10,-50.58714100000003,-22109.916280999954,0.0
2008-08-12,2.5309,19,-1,-10,-75.258094,-22109.916280999954,0.0
2008-08-13,2.4723,19,-1,-10,-72.212851,-22109.916280999954,0.0
2008-08-14,2.4789,19,1,10,-76.39077799999998,-22109.916280999954,0.0
2008-08-15,2.4919,19,1,10,-75.936947,-22109.916280999954,0.0
2008-08-18,2.2446,19,1,10,-74.84131399999998,-22109.916280999954,0.0
2008-08-19,2.2641,19,1,10,-99.64607099999992,-22109.916280999954,0.0
2008-08-20,2.4463,19,1,10,-97.56840899999997,-22109.916280999954,0.0
2008-08-21,2.3227,19,1,10,-75.772332,-22109.916280999954,0.0
2008-08-22,2.2511,19,1,10,-91.91372100000001,-22109.916280999954,0.0
2008-08-25,2.2576,19,1,10,-102.00740200000001,-22109.916280999954,0.0
2008-08-26,2.0885,19,1,10,-101.09993500000007,-22109.916280999954,0.0
2008-08-27,2.1275,19,1,10,-128.2236630000001,-22109.916280999954,0.0
2008-08-28,2.121,19,1,10,-121.65631800000006,-22109.916280999954,0.0
2008-08-29,2.2446,19,1,10,-122.89014300000008,-22109.916280999954,0.0
2008-09-01,2.4723,19,1,10,-99.46977300000003,-22109.916280999954,0.0
2008-09-02,2.5829,19,0,0,-53.99711100000002,-22109.916280999954,0.0
2008-09-03,2.4203,19,0,0,-31.877111000000014,-22109.916280999954,0.0
2008-09-04,2.5049,19,0,0,-64.39711100000005,-22109.916280999954,0.0
2008-09-05,2.2772,19,0,0,-47.477111000000036,-22109.916280999954,0.0
2008-09-08,2.147,19,1,10,-93.01711100000006,-22109.916280999954,0.0
2008-09-09,2.2576,19,1,10,-120.42742700000014,-22109.916280999954,0.0
2008-09-10,2.2641,19,1,10,-96.15983700000004,-22109.916280999954,0.0
2008-09-11,2.1731,19,1,10,-94.73256500000002,-22109.916280999954,0.0
2008-09-12,2.1991,19,1,10,-116.640488,-22109.916280999954,0.0
2008-09-16,2.3032,19,-1,-10,-110.20568100000003,-22109.916280999954,0.0
2008-09-17,2.2186,19,1,10,-85.28765399999997,-22109.916280999954,0.0
2008-09-18,2.1145,19,1,10,-106.50675000000001,-22109.916280999954,0.0
2008-09-19,2.3292,19,1,10,-133.63930800000003,-22109.916280999954,0.0
2008-09-22,2.4203,19,1,10,-75.733743,-22109.916280999954,0.0
2008-09-23,2.1926,19,1,10,-50.29561899999999,-22109.916280999954,0.0
2008-09-24,2.2967,19,1,10,-116.40122800000006,-22109.916280999954,0.0
2008-09-25,2.3487,19,-1,-10,-85.23700600000018,-22109.916280999954,0.0
2008-09-26,2.2837,19,1,10,-70.22590700000012,-22109.916280999954,0.0
2008-10-06,2.1731,19,1,10,-89.79636800000014,-22109.916280999954,0.0
2008-10-07,2.2121,19,1,10,-124.15087900000015,-22109.916280999954,0.0
2008-10-08,2.134,19,1,10,-111.73607200000015,-22109.916280999954,0.0
2008-10-09,2.1145,19,1,10,-137.5754350000002,-22109.916280999954,0.0
2008-10-10,1.9388,19,-1,-10,-144.2694550000001,-22109.916280999954,0.0
2008-10-13,2.0234,19,-1,-10,-202.31389000000024,-22109.916280999954,0.0
2008-10-14,1.9519,19,1,10,-175.30005400000016,-22109.916280999954,0.0
2008-10-15,1.9584,19,1,10,-198.9557560000003,-22109.916280999954,0.0
2008-10-16,1.8087,19,1,10,-196.8043130000002,-22109.916280999954,0.0
2008-10-17,1.8282,19,1,10,-249.25806500000022,-22109.916280999954,0.0
2008-10-20,1.8868,19,1,10,-242.29232600000012,-22109.916280999954,0.0
2008-10-21,1.8868,19,1,10,-220.6651720000002,-22109.916280999954,0.0
2008-10-22,1.8543,19,1,10,-220.7217760000002,-22109.916280999954,0.0
2008-10-23,1.8738,19,1,10,-233.45338000000027,-22109.916280999954,0.0
2008-10-24,2.0429,19,1,10,-225.70900900000026,-22109.916280999954,0.0
2008-10-27,1.8412,19,1,10,-156.4342230000002,-22109.916280999954,0.0
2008-10-28,1.8478,19,1,10,-241.20951000000014,-22109.916280999954,0.0
2008-10-29,1.7046,19,1,10,-238.42674599999987,-22109.916280999954,0.0
2008-10-30,1.7111,19,1,10,-301.4901800000001,-22109.916280999954,0.0
2008-10-31,1.6591,19,1,10,-298.6163180000002,-22109.916280999954,0.0
2008-11-03,1.594,19,-1,-10,-322.5876510000004,-22109.916280999954,0.0
2008-11-04,1.5289,19,-1,-10,-351.9324240000004,-22109.916280999954,0.0
2008-11-05,1.607,19,1,10,-380.62424400000043,-22109.916280999954,0.0
2008-11-06,1.6656,19,1,10,-345.5251110000005,-22109.916280999954,0.0
2008-11-07,1.6851,19,1,10,-318.6173210000004,-22109.916280999954,0.0
2008-11-10,1.8412,19,1,10,-309.50228900000025,-22109.916280999954,0.0
2008-11-11,1.7762,19,1,10,-234.6248420000005,-22109.916280999954,0.0
2008-11-12,1.8412,19,1,10,-266.53007800000046,-22109.916280999954,0.0
2008-11-13,1.9193,19,0,0,-234.08336400000042,-22109.916280999954,0.0
2008-11-14,1.9779,19,0,0,-195.03336400000046,-22109.916280999954,0.0
2008-11-17,2.1275,19,0,0,-165.7333640000004,-22109.916280999954,0.0
2008-11-18,1.9128,19,0,0,-90.93336400000044,-22109.916280999954,0.0
