date,close,episode,actions,transactions,total_assets,reward,assets_baseline,landmark,best_reward,landmark2,regret,actions_signal
2016-06-07,3.8791,15,0.01898705,[24.34986305],999430.4716365556,-0.038171163161894,873573.3200000001,,940345.36,-,1.062833416476427,^
2016-06-08,3.8594,15,0.01898705,[24.47352409],999379.1363366832,-0.038171163161894,869136.88,,935570.0799999998,-,1.0682033956629773,^
2016-06-13,3.7806,15,0.0247462,[32.05965042],999327.3189083824,-0.038171163161894,851391.12,,916468.96,-,1.090410436713953,^
2016-06-14,3.8003,15,0.0391959,[51.83819962],999118.2909246496,-0.038171163161894,855827.56,,921244.2399999999,-,1.0845313843423865,^
2016-06-15,3.82,15,0.01898705,[24.98098755],999170.8883963616,-0.038171163161894,860264.0,,926019.5199999999,-,1.0789954928772578,^
2016-06-16,3.7806,15,0.03119184,[40.82701874],999224.28112628,-0.038171163161894,851391.12,,916468.96,-,1.0902980076120419,^
2016-06-17,3.7806,15,0.03874791,[51.24572372],999114.8495927886,-0.038171163161894,851391.12,,916468.96,-,1.0901786020039224,^
2016-06-20,3.7806,15,0.04359203,[57.65226746],999114.2683740392,-0.038171163161894,851391.12,,916468.96,-,1.090177967810322,^
2016-06-21,3.7609,15,0.03517898,[46.52565765],999113.6144935522,-0.038171163161894,846954.6799999999,,911693.6799999999,-,1.0958873977206383,^
2016-06-22,3.7708,15,0.04057986,[53.94966507],999055.543135038,-0.038171163161894,849184.16,,914093.4399999998,-,1.0929468470258776,^
2016-06-23,3.7806,15,0.03517898,[46.64657211],999084.3864256748,-0.038171163161894,851391.12,,916468.96,-,1.0901453622888382,^
2016-06-24,3.7609,15,0.04042367,[53.46197128],999113.4703710882,-0.038171163161894,846954.6799999999,,911693.6799999999,-,1.0958872396385246,^
2016-06-27,3.7905,15,0.04359203,[57.95425415],999052.2853955852,-0.038171163161894,853620.6000000001,,918868.72,-,1.0872633529146418,^
2016-06-28,3.7905,15,0.0391959,[51.70280838],999144.3686446644,-0.038171163161894,853620.6000000001,,918868.72,-,1.0873635666307853,^
2016-06-29,3.8003,15,0.04359203,[57.50168991],999143.780706179,-0.038171163161894,855827.56,,921244.2399999999,-,1.0845590532063236,^
2016-06-30,3.81,15,0.05166819,[67.97909546],999174.9005389008,-0.038171163161894,858012.0,,923595.5199999999,-,1.0818316881170027,^
