date,close,episode,actions,transactions,total_assets,reward,assets_baseline
2016-03-24,4.332,27,[0.01868488],[21.04011536],1000000.0,-0.01393088529608133,975566.4
2016-03-25,4.2827,27,[0.01792795],[20.69246101],999997.4410822343,-0.01393088529608133,964464.04
2016-03-28,4.2434,27,[0.02049328],[23.92565346],999995.1147469959,-0.01393088529608133,955613.68
2016-03-29,4.1646,27,[0.01792795],[21.1245079],999992.2269793755,-0.01393088529608133,937867.92
2016-03-30,4.2827,27,[0.01792795],[21.52421379],999985.1195804317,-0.01393088529608133,964464.04
2016-03-31,4.3221,27,[0.01868488],[21.81437492],999997.6417121843,-0.01393088529608133,973336.9199999999
2016-04-01,4.4698,27,[0.02049328],[23.70754814],1000002.4882191758,-0.01393088529608133,1006598.9600000001
2016-04-05,4.4698,27,[0.02253186],[25.2045517],1000024.901344771,-0.01393088529608133,1006598.9600000001
2016-04-06,4.4206,27,[0.02269603],[25.38819122],1000024.5633668555,-0.01393088529608133,995519.1200000001
2016-04-07,4.3418,27,[0.01868488],[21.13387871],1000014.1653828627,-0.01393088529608133,977773.36
2016-04-08,4.2729,27,[0.01868488],[21.5174408],999996.1113364883,-0.01393088529608133,962257.08
2016-04-11,4.3418,27,[0.01792795],[20.97866631],999978.8077378549,-0.01393088529608133,977773.36
2016-04-12,4.3123,27,[0.01792795],[20.64575577],999997.0075740936,-0.01393088529608133,971129.96
2016-04-13,4.3713,27,[0.01984127],[23.00543785],999988.2220827736,-0.01393088529608133,984416.7599999999
2016-04-14,4.4009,27,[0.02348134],[26.85852814],1000006.3149287438,-0.01393088529608133,991082.68
2016-04-15,4.3516,27,[0.01984127],[22.54228783],1000015.9841239138,-0.01393088529608133,979980.3200000001
2016-04-18,4.2827,27,[0.01792795],[20.59926033],999997.8840967343,-0.01393088529608133,964464.04
2016-04-19,4.263,27,[0.01792795],[20.93066025],999971.315849545,-0.01393088529608133,960027.6
2016-04-20,4.1252,27,[0.01984127],[23.27148819],999963.1150497196,-0.01393088529608133,928995.04
2016-04-21,4.0858,27,[0.02049328],[24.83913231],999904.1277186713,-0.01393088529608133,920122.1599999999
2016-04-22,4.0661,27,[0.01984127],[24.28076553],999886.0609998389,-0.01393088529608133,915685.7199999999
2016-04-25,4.0169,27,[0.01984127],[24.39840508],999876.405389869,-0.01393088529608133,904605.8799999999
2016-04-26,4.0268,27,[0.02047224],[25.48263741],999851.5361432349,-0.01393088529608133,906835.36
2016-04-27,4.0268,27,[0.02047224],[25.41998672],999856.4256286401,-0.01393088529608133,906835.36
2016-04-28,4.0071,27,[0.00741345],[9.20513535],999856.1185450325,-0.01393088529608133,902398.92
2016-04-29,3.9775,27,[0.00741345],[9.25039005],999844.9845809594,-0.01393088529608133,895733.0
2016-05-03,4.0563,27,[0.01234271],[15.51566029],999828.0374476118,-0.01393088529608133,913478.76
2016-05-04,4.0563,27,[0.01792795],[22.09889221],999873.8949211861,-0.01393088529608133,913478.76
2016-05-05,4.0563,27,[0.01490774],[18.37602997],999873.6260019767,-0.01393088529608133,913478.76
2016-05-06,3.9578,27,[0.00741345],[9.13818932],999873.4023859056,-0.01393088529608133,891296.56
2016-05-09,3.8594,27,[0.01868488],[23.60514069],999810.8510249731,-0.01393088529608133,869136.88
2016-05-10,3.8692,27,[0.00815342],[10.56307125],999745.871237656,-0.01393088529608133,871343.8400000001
2016-05-11,3.8791,27,[0.00741345],[9.58007812],999752.2961051912,-0.01393088529608133,873573.3200000001
2016-05-12,3.8692,27,[0.00741345],[9.55562878],999758.8937229824,-0.01393088529608133,871343.8400000001
