date,close,episode,actions,transactions,total_assets,reward,assets_baseline
2016-03-24,4.332,7,[-0.42456332],[0.],1000000.0,-0.037725312514908405,975566.4
2016-03-25,4.2827,7,[-0.7717383],[0.],1000000.0,-0.037725312514908405,964464.04
2016-03-28,4.2434,7,[-0.13055736],[0.],1000000.0,-0.037725312514908405,955613.68
2016-03-29,4.1646,7,[0.8659713],[1020.37432861],1000000.0,-0.037725312514908405,937867.92
2016-03-30,4.2827,7,[0.38227376],[458.95614624],999906.6049336272,-0.037725312514908405,964464.04
2016-03-31,4.3221,7,[1.],[1167.48779297],1000075.5797564074,-0.037725312514908405,973336.9199999999
2016-04-01,4.4698,7,[-0.5819059],[-673.17498779],1000164.8643962468,-0.037725312514908405,1006598.9600000001
2016-04-05,4.4698,7,[-1.],[-1118.61828613],1000447.642919863,-0.037725312514908405,1006598.9600000001
2016-04-06,4.4206,7,[1.],[1118.61828613],1000432.6429198169,-0.037725312514908405,995519.1200000001
2016-04-07,4.3418,7,[0.77462655],[876.15545654],1000320.5396703933,-0.037725312514908405,977773.36
2016-04-08,4.2729,7,[0.47232825],[543.93133545],1000084.3561315178,-0.037725312514908405,962257.08
2016-04-11,4.3418,7,[0.4123427],[482.50915527],999843.4432063388,-0.037725312514908405,977773.36
2016-04-12,4.3123,7,[-0.2095995],[-241.37394714],1000104.3309489907,-0.037725312514908405,971129.96
2016-04-13,4.3713,7,[-0.82696927],[-958.84936523],999993.9584310153,-0.037725312514908405,984416.7599999999
2016-04-14,4.4009,7,[1.],[1143.82446289],1000139.4388316423,-0.037725312514908405,991082.68
2016-04-15,4.3516,7,[0.34125066],[387.70553589],1000237.5061072016,-0.037725312514908405,979980.3200000001
2016-04-18,4.2827,7,[0.593343],[681.75268555],1000024.9553337776,-0.037725312514908405,964464.04
2016-04-19,4.263,7,[0.5637507],[658.17205811],999679.1825153304,-0.037725312514908405,960027.6
2016-04-20,4.1252,7,[-0.45516503],[-533.85528564],999561.4410829608,-0.037725312514908405,928995.04
2016-04-21,4.0858,7,[0.98928887],[1199.07983398],998863.7374094918,-0.037725312514908405,920122.1599999999
2016-04-22,4.0661,7,[-0.4673636],[-571.93640137],998604.1178859943,-0.037725312514908405,915685.7199999999
2016-04-25,4.0169,7,[-0.10611208],[-130.48384094],998485.984484303,-0.037725312514908405,904605.8799999999
2016-04-26,4.0268,7,[1.],[1244.7409668],998213.2872750678,-0.037725312514908405,906835.36
2016-04-27,4.0268,7,[0.4895606],[607.87799072],998265.161932808,-0.037725312514908405,906835.36
2016-04-28,4.0071,7,[0.7204081],[894.5168457],998257.8185235289,-0.037725312514908405,902398.92
2016-04-29,3.9775,7,[0.33713806],[420.6758728],998084.3414101239,-0.037725312514908405,895733.0
2016-05-03,4.0563,7,[0.00732102],[9.20303631],997822.4129747278,-0.037725312514908405,913478.76
2016-05-04,4.0563,7,[0.00795651],[9.80759144],998506.8615859433,-0.037725312514908405,913478.76
2016-05-05,4.0563,7,[0.9713278],[1197.30761719],998506.7422383439,-0.037725312514908405,913478.76
2016-05-06,3.9578,7,[0.62993133],[776.48516846],998492.172321681,-0.037725312514908405,891296.56
2016-05-09,3.8594,7,[0.5878566],[742.65576172],997431.6406811143,-0.037725312514908405,869136.88
2016-05-10,3.8692,7,[-1.],[-1295.53820801],996299.7299240449,-0.037725312514908405,871343.8400000001
2016-05-11,3.8791,7,[0.9047703],[1169.19555664],996383.8863981088,-0.037725312514908405,873573.3200000001
2016-05-12,3.8692,7,[1.],[1288.95874023],996482.0581550807,-0.037725312514908405,871343.8400000001
2016-05-13,3.8495,7,[-1.],[-1292.25683594],996342.5541526894,-0.037725312514908405,866907.4
2016-05-16,3.8791,7,[0.35505372],[461.16860962],996105.261222412,-0.037725312514908405,873573.3200000001
2016-05-17,3.8594,7,[-0.5508474],[-710.01959229],996447.5895975649,-0.037725312514908405,869136.88
2016-05-18,3.82,7,[0.48828653],[632.59381104],996221.9363210935,-0.037725312514908405,860264.0
2016-05-19,3.8102,7,[-1.],[-1308.9005127],995754.9066963354,-0.037725312514908405,858057.04
2016-05-20,3.8102,7,[0.0930482],[122.10408783],995638.3909721054,-0.037725312514908405,858057.04
2016-05-23,3.8397,7,[0.5329695],[699.39831543],995636.9952491191,-0.037725312514908405,864700.4400000001
2016-05-24,3.8102,7,[0.3235751],[421.35467529],995958.8180754329,-0.037725312514908405,858057.04
2016-05-25,3.8102,7,[0.43401456],[569.54302979],995611.7171171735,-0.037725312514908405,858057.04
2016-05-26,3.82,7,[-0.57515013],[-754.75061035],995605.2068986171,-0.037725312514908405,860264.0
2016-05-27,3.8102,7,[1.],[1308.9005127],995708.4603357252,-0.037725312514908405,858057.04
2016-05-30,3.8298,7,[0.5552204],[728.59747314],995568.7524213906,-0.037725312514908405,862470.9600000001
2016-05-31,3.9381,7,[0.10909587],[142.43025208],995824.1204545061,-0.037725312514908405,886860.12
2016-06-01,3.9086,7,[-1.],[-1269.64782715],997294.9660267576,-0.037725312514908405,880216.72
2016-06-02,3.8988,7,[0.67590475],[864.63787842],996916.3290463232,-0.037725312514908405,878009.76
2016-06-03,3.9086,7,[0.44057593],[565.01477051],996776.9155868196,-0.037725312514908405,880216.72
2016-06-06,3.8988,7,[0.61184365],[782.68902588],996905.1189814776,-0.037725312514908405,878009.76
2016-06-07,3.8791,7,[0.695822],[892.35406494],996753.4589406245,-0.037725312514908405,873573.3200000001
2016-06-08,3.8594,7,[0.1598821],[206.08143616],996439.0235618164,-0.037725312514908405,869136.88
2016-06-13,3.7806,7,[-1.],[-1295.53820801],996128.5674773043,-0.037725312514908405,851391.12
2016-06-14,3.8003,7,[-1.],[-1322.54138184],994983.4244755547,-0.037725312514908405,855827.56
2016-06-15,3.82,7,[1.],[1315.68554688],995224.9061608055,-0.037725312514908405,860264.0
2016-06-16,3.7806,7,[-1.],[-1308.9005127],995492.3068518229,-0.037725312514908405,851391.12
2016-06-17,3.7806,7,[0.36844462],[487.28326416],994964.0761514104,-0.037725312514908405,851391.12
2016-06-20,3.7806,7,[0.74016947],[978.90478516],994958.5494820848,-0.037725312514908405,851391.12
2016-06-21,3.7609,7,[-0.76373035],[-1010.06500244],994947.4469397925,-0.037725312514908405,846954.6799999999
2016-06-22,3.7708,7,[0.53563464],[712.10961914],994670.3900102559,-0.037725312514908405,849184.16
2016-06-23,3.7806,7,[-0.50784105],[-673.38635254],994802.8799775795,-0.037725312514908405,851391.12
2016-06-24,3.7609,7,[-0.21145715],[-279.66082764],994927.7682228157,-0.037725312514908405,846954.6799999999
2016-06-27,3.7905,7,[0.24881098],[330.78649902],994663.7418613012,-0.037725312514908405,853620.6000000001
2016-06-28,3.7905,7,[-0.6384777],[-842.20776367],995061.7448006191,-0.037725312514908405,853620.6000000001
2016-06-29,3.8003,7,[0.8289994],[1093.52246094],995052.1676350345,-0.037725312514908405,855827.56
