date,close,episode,actions,transactions,total_assets,reward,assets_baseline
2016-03-24,4.332,12,[0.04750036],[53.48778534],1000000.0,-0.033786318053424136,975566.4
2016-03-25,4.2827,12,[0.04008865],[46.27037048],999993.494767408,-0.033786318053424136,964464.04
2016-03-28,4.2434,12,[0.04372337],[51.04650497],999987.9753605912,-0.033786318053424136,955613.68
2016-03-29,4.1646,12,[0.04008865],[47.23647308],999981.3928868213,-0.033786318053424136,937867.92
2016-03-30,4.2827,12,[0.04008865],[48.13025284],999965.1859157218,-0.033786318053424136,964464.04
2016-03-31,4.3221,12,[0.04750036],[55.45609283],999993.6574267403,-0.033786318053424136,973336.9199999999
2016-04-01,4.4698,12,[0.04372337],[50.58116913],1000004.8290440083,-0.033786318053424136,1006598.9600000001
2016-04-05,4.4698,12,[0.04498104],[50.31661224],1000056.1944108054,-0.033786318053424136,1006598.9600000001
2016-04-06,4.4206,12,[0.04478274],[50.0947876],1000055.5196952252,-0.033786318053424136,995519.1200000001
2016-04-07,4.3418,12,[0.04750036],[53.72615051],1000032.579047793,-0.033786318053424136,977773.36
2016-04-08,4.2729,12,[0.04750036],[54.70123291],999991.9664618461,-0.033786318053424136,962257.08
2016-04-11,4.3418,12,[0.04008865],[46.91035461],999952.5977883459,-0.033786318053424136,977773.36
2016-04-12,4.3123,12,[0.04008865],[46.16593552],999993.8847500773,-0.033786318053424136,971129.96
2016-04-13,4.3713,12,[0.04056104],[47.02946854],999973.9867704995,-0.033786318053424136,984416.7599999999
2016-04-14,4.4009,12,[0.04447677],[50.87362289],1000014.7463932143,-0.033786318053424136,991082.68
2016-04-15,4.3516,12,[0.04056104],[46.08266068],1000036.3392352909,-0.033786318053424136,979980.3200000001
2016-04-18,4.2827,12,[0.04008865],[46.06196594],999996.3840226695,-0.033786318053424136,964464.04
2016-04-19,4.263,12,[0.04008865],[46.80300903],999937.619280692,-0.033786318053424136,960027.6
2016-04-20,4.1252,12,[0.04056104],[47.57334518],999919.4657543031,-0.033786318053424136,928995.04
2016-04-21,4.0858,12,[0.04372337],[52.99546051],999789.5254527313,-0.033786318053424136,920122.1599999999
2016-04-22,4.0661,12,[0.04056104],[49.63658905],999749.8027978691,-0.033786318053424136,915685.7199999999
