,date,tic,open,high,low,close,volume,day,kdjk,kdjd,kdjj,rsi_6,rsi_12,rsi_24,amount,change,daily_variance,landmark
0,2010-04-30,300077.SZ,31.2682,32.216,30.2097,30.5516,178453.46,4,39.01377328083203,46.337924426944,24.36547098860808,0.0,0.0,0.0,5452038.728536,-0.023455400044514844,0.06566922845284696,-
1,2010-05-04,300077.SZ,27.8365,32.7403,27.8365,31.5459,69880.92,1,51.223641722003904,47.966496858630634,57.73793144875046,100.0,100.0,100.0,2204456.514228,0.11758738853543563,0.15544967808811913,-
2,2010-05-05,300077.SZ,32.0451,33.6939,31.8722,32.82,52446.29,2,62.509231515970185,52.814075077743816,81.89954439242292,100.0,100.0,100.0,1721287.2378,0.023610603290676487,0.05550578915295551,-
3,2010-05-06,300077.SZ,33.0336,35.6904,32.5306,34.3756,46296.55,3,69.42591183176751,58.35135399575171,91.5750275037991,100.0,100.0,100.0,1591471.68418,0.039039318586439185,0.09191985012625226,^
4,2010-05-07,300077.SZ,34.0843,35.638,31.5013,31.7537,59988.65,4,62.90922717253159,59.870645054678334,68.98639140823809,51.25157425377722,55.442666339080695,57.42244648427415,1904861.5955049999,-0.07339617115485757,0.13027458217467563,-
5,2010-05-10,300077.SZ,31.7732,32.2393,29.5203,31.1031,39862.48,0,55.80350987325583,58.5149333275375,50.38066296469249,44.75504008106218,49.4751598882359,51.72048081479036,1239846.7016880002,-0.021544476274069076,0.08741893894820776,-
6,2010-05-11,300077.SZ,31.6139,31.6158,28.9377,29.8932,37343.19,1,45.93133654987237,54.32040106831578,29.15320751298556,34.88657664585527,40.60800287241194,43.36452195449295,1116307.4473080002,-0.05756158591251525,0.0895889366143471,v
7,2010-05-12,300077.SZ,29.1319,30.8798,28.4832,30.5205,26295.1,2,42.01225922824266,50.21768712162474,25.601403441478496,42.741701319812144,46.07446137740173,47.91691408774144,802539.5995499999,0.04549728870758987,0.07852427057223832,^
8,2010-05-13,300077.SZ,30.4914,31.0352,28.9202,30.2777,26382.52,3,38.36905509812068,46.26814311379005,22.57087906678194,40.47386417576674,44.35083976982291,46.41023197189015,798802.025804,-0.007057999782017767,0.06985339044907633,-
9,2010-05-14,300077.SZ,29.7145,29.765,27.8734,28.8172,34983.95,4,29.74163339955351,40.75930654237787,7.706287113904793,29.26535259370202,35.60932260144135,38.76032010481279,1008139.48394,-0.03113765390114242,0.06564135308079898,-
10,2010-05-17,300077.SZ,27.9647,29.7456,27.7976,28.1608,24853.87,0,21.361643024528338,34.29341870309469,-4.5019083326043585,25.462400328989546,32.47140444307415,35.97905217794259,699904.8622959999,0.006963580580097076,0.06917417118831853,-
11,2010-05-18,300077.SZ,28.1589,28.2968,25.636,27.1762,28439.68,1,19.34731750118143,29.311384969123598,-0.580817434702908,20.635623549014554,28.37919550143532,32.34615729781851,772882.431616,-0.03616031674774242,0.09790919996173128,v
12,2010-05-19,300077.SZ,26.6265,29.8932,26.4576,28.9338,26309.77,2,23.88868024040637,27.503816726217856,16.658407268783392,43.55582614871629,42.49253331577503,43.056240980862086,761241.623226,0.07974410550981902,0.11874002032225289,^
13,2010-05-20,300077.SZ,28.3492,29.5786,27.753,27.9472,20418.11,3,27.59268065275194,27.53343803506255,27.71116588813073,36.46261389419455,37.91707129205023,39.4025701448578,570629.003792,-0.014384267475811568,0.06532318085532725,v
14,2010-05-21,300077.SZ,26.8013,30.7419,26.6188,30.7419,23749.26,4,46.85705338721765,33.974643152447584,72.62187385675776,59.10231723420661,53.417073100015486,51.554029920588775,730097.375994,0.12818335886851495,0.13411988198517336,-
15,2010-05-24,300077.SZ,31.2682,32.6083,31.0759,32.0645,37030.53,0,61.97155728924436,43.30694786471317,99.30077613830674,65.98537803222956,58.735877843722825,55.91919337950447,1187365.429185,0.024834318327121963,0.047791170921112104,-
16,2010-05-25,300077.SZ,31.6081,33.0161,31.2837,32.0218,23856.57,1,70.15679913554487,52.25689828832374,105.95660082998714,65.55792470330131,58.5006245595334,55.74996615764287,763930.3132259999,0.012919323710722028,0.05410064393631844,-
17,2010-05-26,300077.SZ,32.216,32.8219,30.6564,31.2294,22751.03,2,72.03463307184045,58.849476549495975,98.40494611652937,57.292975142208554,54.11291087715015,52.6637851484454,710501.0162819999,-0.03159202546318542,0.06934171005526837,-
18,2010-05-27,300077.SZ,31.074,34.3523,30.5011,33.9483,26958.16,3,79.81142397914122,65.83679235937772,107.76068721866821,71.88649422020751,64.17162051663715,60.493975030874935,915183.7031280001,0.08466697890616029,0.11344308846098326,^
19,2010-05-28,300077.SZ,33.8318,34.797,32.8433,33.9289,22917.96,4,83.38226940820964,71.68528470898835,106.7762388066522,71.6767794893173,64.06231264662948,60.419562129032414,777581.1730439999,0.0028618670219192938,0.05758217920415922,-
20,2010-05-31,300077.SZ,33.0161,33.8318,31.4818,31.5032,22506.38,0,75.7558975068409,73.04215564160586,81.18338123731098,49.85441301953255,51.984095436817114,52.06372245981786,709022.990416,-0.04802369283120451,0.07459559663780192,-
21,2010-06-01,300077.SZ,30.2971,30.8798,29.1319,29.5786,29542.14,1,62.567710986969125,69.55067409006028,48.6017847807868,38.65063223757931,44.69099490680363,46.71493796760676,873815.142204,-0.024291210537347906,0.05909339860574867,-
22,2010-06-02,300077.SZ,29.1901,29.9068,27.9006,29.3882,27529.11,2,52.999539751504486,64.03362931054168,30.931360633430103,37.64626936679201,44.02441786114019,46.22470345103599,809030.9905020001,0.006740800729544517,0.0682654943140444,-
23,2010-06-03,300077.SZ,28.9823,28.9823,26.4498,26.4731,51842.85,3,35.426071673835395,54.49777676497291,-2.7173385084396386,25.481065512666788,35.244397934595625,39.58761812695667,1372440.9523349998,-0.09478300614586127,0.0956631448526995,v
24,2010-06-04,300077.SZ,25.6341,27.3276,25.6186,26.9722,32130.63,4,28.533270595538134,45.84294137516132,-6.086070963708238,30.120475420024604,37.569909570586155,41.09855640638017,866633.778486,0.04961033953478028,0.06336153521032765,^
25,2010-06-07,300077.SZ,26.2187,27.6753,25.7914,26.6052,26156.56,0,22.60523045658555,38.097037735636064,-8.37838410151548,28.551949785902053,36.5179133480916,40.32471148970303,695900.510112,0.01452723527731427,0.07080946581871216,-
