,date,actions,transactions
167,2010-05-11,[-1.],[0.]
168,2010-05-12,[-1.],[0.]
169,2010-05-13,[-1.],[0.]
170,2010-05-14,[-1.],[0.]
171,2010-05-17,[0.2098204],[0.]
172,2010-05-18,[-1.],[0.]
173,2010-05-19,[-1.],[0.]
174,2010-05-20,[-1.],[0.]
175,2010-05-21,[-1.],[0.]
176,2010-05-24,[-1.],[0.]
177,2010-05-25,[-1.],[0.]
178,2010-05-26,[-1.],[0.]
179,2010-05-27,[-1.],[0.]
180,2010-05-28,[-1.],[0.]
181,2010-05-31,[-1.],[0.]
182,2010-06-01,[-1.],[0.]
183,2010-06-02,[-1.],[0.]
184,2010-06-03,[-1.],[0.]
185,2010-06-04,[-1.],[0.]
186,2010-06-07,[-1.],[0.]
187,2010-06-08,[-1.],[0.]
188,2010-06-09,[-1.],[0.]
189,2010-06-10,[0.2098204],[0.]
190,2010-06-11,[-1.],[0.]
191,2010-06-17,[-1.],[0.]
192,2010-06-18,[-1.],[0.]
193,2010-06-21,[-1.],[0.]
194,2010-06-22,[-1.],[0.]
195,2010-06-23,[-1.],[0.]
196,2010-06-24,[-1.],[0.]
197,2010-06-25,[-1.],[0.]
198,2010-06-28,[-1.],[0.]
199,2010-06-29,[-1.],[0.]
200,2010-06-30,[-1.],[0.]
201,2010-07-01,[-1.],[0.]
202,2010-07-02,[-1.],[0.]
203,2010-07-05,[-1.],[0.]
204,2010-07-06,[-1.],[0.]
205,2010-07-07,[-1.],[0.]
206,2010-07-08,[-1.],[0.]
207,2010-07-09,[-1.],[0.]
208,2010-07-12,[-1.],[0.]
209,2010-07-13,[-1.],[0.]
210,2010-07-14,[-1.],[0.]
211,2010-07-15,[-1.],[0.]
212,2010-07-16,[-1.],[0.]
213,2010-07-19,[-1.],[0.]
214,2010-07-20,[-1.],[0.]
215,2010-07-21,[-1.],[0.]
216,2010-07-22,[-1.],[0.]
217,2010-07-23,[-1.],[0.]
218,2010-07-26,[-1.],[0.]
219,2010-07-27,[-1.],[0.]
220,2010-07-28,[-1.],[0.]
221,2010-07-29,[-1.],[0.]
222,2010-07-30,[-1.],[0.]
223,2010-08-02,[-1.],[0.]
224,2010-08-03,[-1.],[0.]
225,2010-08-04,[-1.],[0.]
226,2010-08-05,[-1.],[0.]
227,2010-08-06,[-1.],[0.]
228,2010-08-09,[-1.],[0.]
229,2010-08-10,[-1.],[0.]
230,2010-08-11,[-1.],[0.]
231,2010-08-12,[-1.],[0.]
232,2010-08-13,[-1.],[0.]
233,2010-08-16,[-1.],[0.]
234,2010-08-17,[-1.],[0.]
235,2010-08-18,[0.2098204],[0.]
236,2010-08-19,[-1.],[0.]
237,2010-08-20,[-1.],[0.]
238,2010-08-23,[-1.],[0.]
239,2010-08-24,[-1.],[0.]
240,2010-08-25,[-1.],[0.]
241,2010-08-26,[-1.],[0.]
242,2010-08-27,[-1.],[0.]
243,2010-08-30,[-1.],[0.]
244,2010-08-31,[-1.],[0.]
245,2010-09-01,[-1.],[0.]
246,2010-09-02,[-1.],[0.]
247,2010-09-03,[-1.],[0.]
248,2010-09-06,[-1.],[0.]
249,2010-09-07,[-1.],[0.]
250,2010-09-08,[-1.],[0.]
251,2010-09-09,[-1.],[0.]
252,2010-09-10,[-1.],[0.]
253,2010-09-13,[-1.],[0.]
254,2010-09-14,[-1.],[0.]
255,2010-09-15,[-1.],[0.]
256,2010-09-16,[-1.],[0.]
257,2010-09-17,[-1.],[0.]
258,2010-09-20,[-1.],[0.]
259,2010-09-21,[-1.],[0.]
260,2010-09-27,[-1.],[0.]
261,2010-09-28,[-1.],[0.]
262,2010-09-29,[-1.],[0.]
263,2010-09-30,[-1.],[0.]
264,2010-10-08,[-1.],[0.]
265,2010-10-11,[-1.],[0.]
266,2010-10-12,[-1.],[0.]
267,2010-10-13,[-1.],[0.]
268,2010-10-14,[-1.],[0.]
269,2010-10-15,[-1.],[0.]
270,2010-10-18,[-1.],[0.]
271,2010-10-19,[-1.],[0.]
272,2010-10-20,[-1.],[0.]
273,2010-10-21,[-1.],[0.]
274,2010-10-22,[-1.],[0.]
275,2010-10-25,[-1.],[0.]
276,2010-10-26,[-1.],[0.]
277,2010-10-27,[-1.],[0.]
278,2010-10-28,[-1.],[0.]
279,2010-10-29,[-1.],[0.]
280,2010-11-01,[-1.],[0.]
281,2010-11-02,[-1.],[0.]
282,2010-11-03,[-1.],[0.]
283,2010-11-04,[-1.],[0.]
284,2010-11-05,[-1.],[0.]
285,2010-11-08,[-1.],[0.]
286,2010-11-09,[-1.],[0.]
287,2010-11-10,[-1.],[0.]
288,2010-11-11,[-1.],[0.]
289,2010-11-12,[-1.],[0.]
290,2010-11-15,[-1.],[0.]
291,2010-11-16,[-1.],[0.]
292,2010-11-17,[-1.],[0.]
293,2010-11-18,[-1.],[0.]
294,2010-11-19,[-1.],[0.]
295,2010-11-22,[-1.],[0.]
296,2010-11-23,[-1.],[0.]
297,2010-11-24,[-1.],[0.]
298,2010-11-25,[-1.],[0.]
299,2010-11-26,[-1.],[0.]
300,2010-11-29,[-1.],[0.]
301,2010-11-30,[-1.],[0.]
302,2010-12-01,[-1.],[0.]
303,2010-12-02,[-1.],[0.]
304,2010-12-03,[-1.],[0.]
305,2010-12-06,[-1.],[0.]
306,2010-12-07,[-1.],[0.]
307,2010-12-08,[-1.],[0.]
308,2010-12-09,[-1.],[0.]
309,2010-12-10,[-1.],[0.]
310,2010-12-13,[-1.],[0.]
311,2010-12-14,[-1.],[0.]
312,2010-12-15,[-1.],[0.]
313,2010-12-16,[-1.],[0.]
314,2010-12-17,[-1.],[0.]
315,2010-12-20,[-1.],[0.]
316,2010-12-21,[-1.],[0.]
317,2010-12-22,[-1.],[0.]
318,2010-12-23,[-1.],[0.]
319,2010-12-24,[-1.],[0.]
320,2010-12-27,[-1.],[0.]
321,2010-12-28,[-1.],[0.]
322,2010-12-29,[-1.],[0.]
323,2010-12-30,[-1.],[0.]
324,2010-12-31,[-1.],[0.]
325,2011-01-04,[-1.],[0.]
326,2011-01-05,[-1.],[0.]
327,2011-01-06,[-1.],[0.]
328,2011-01-07,[-1.],[0.]
329,2011-01-10,[-1.],[0.]
330,2011-01-11,[-1.],[0.]
331,2011-01-12,[-1.],[0.]
332,2011-01-13,[-1.],[0.]
333,2011-01-14,[-1.],[0.]
334,2011-01-17,[-1.],[0.]
335,2011-01-18,[-1.],[0.]
336,2011-01-19,[-1.],[0.]
337,2011-01-20,[-1.],[0.]
338,2011-01-21,[-1.],[0.]
339,2011-01-24,[-1.],[0.]
340,2011-01-25,[-1.],[0.]
341,2011-01-26,[-1.],[0.]
342,2011-01-27,[-1.],[0.]
343,2011-01-28,[-1.],[0.]
344,2011-01-31,[-1.],[0.]
345,2011-02-01,[-1.],[0.]
346,2011-02-09,[-1.],[0.]
347,2011-02-10,[-1.],[0.]
348,2011-02-11,[-1.],[0.]
349,2011-02-14,[-1.],[0.]
350,2011-02-15,[-1.],[0.]
351,2011-02-16,[-1.],[0.]
352,2011-02-17,[-1.],[0.]
353,2011-02-18,[-1.],[0.]
354,2011-02-21,[-1.],[0.]
355,2011-02-22,[-1.],[0.]
356,2011-02-23,[-1.],[0.]
357,2011-02-24,[-1.],[0.]
358,2011-02-25,[-1.],[0.]
359,2011-02-28,[-1.],[0.]
360,2011-03-01,[-1.],[0.]
361,2011-03-02,[-1.],[0.]
362,2011-03-03,[-1.],[0.]
363,2011-03-04,[-1.],[0.]
364,2011-03-07,[-1.],[0.]
365,2011-03-08,[-1.],[0.]
366,2011-03-09,[-1.],[0.]
367,2011-03-10,[-1.],[0.]
368,2011-03-11,[-1.],[0.]
369,2011-03-14,[-1.],[0.]
