,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,600000.SH,20210521,10.2,10.22,10.07,10.09,10.16,-0.07,-0.689,286189.32,289959.893
1,600000.SH,20210520,10.1,10.18,10.02,10.16,10.12,0.04,0.3953,353952.64,357783.848
